"Source:","C:\Users\Zijian\SynologyDrive\Documents\2023 Game Plan\KiCad\Lightning Trigger\KICAD_lightning_trigger\KICAD_lightning_trigger.kicad_sch"
"Date:","9/4/2023 5:06:53 PM"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","https://www.farnell.com/datasheets/2171929.pdf","DNP","","","","","","",""
"2","2","C1, C2","0.01u","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~","","","","","","","",""
"3","1","C3","47n","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~","","","","","","","",""
"4","1","C4","4.7n","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~","","","","","","","",""
"5","2","D1, D2","LED","Device:LED","LED_THT:LED_D5.0mm_Clear","~","","","","","","","",""
"6","1","D3","D_Zener","Device:D_Zener","Diode_THT:D_T-1_P5.08mm_Horizontal","~","","","","","","","",""
"7","3","J1, J3, J4","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","https://www.te.com/usa-en/product-282837-2.datasheet.pdf","","","","","","","",""
"8","1","J2","Barrel_Jack","Connector:Barrel_Jack","ZhuLib:PJ037A","~","","","","","","","",""
"9","1","J5","AudioJack3_Ground","Connector_Audio:AudioJack3_Ground","ZhuLib:SJ12503A","~","","","","","","","",""
"10","1","J6","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","",""
"11","3","Q1, Q2, Q3","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","","","",""
"12","4","R1, R4, R12, R16","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","",""
"13","1","R2","220k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","",""
"14","4","R3, R7, R11, R14","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","",""
"15","2","R5, R6","500","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","",""
"16","3","R8, R9, R10","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","",""
"17","1","R13","5.1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","",""
"18","1","R15","2k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","",""
"19","1","S1","100SP1T1B1M2QEH","ZhuLib:100SP1T1B1M2QEH","ZhuLib:100SP1T1B4M2QE","http://spec_sheets.e-switch.com/specs/ST110001.pdf","","","","28","E-Switch","100SP1T1B1M2QEH","612-100-A1121","https://www.mouser.co.uk/ProductDetail/E-Switch/100SP1T1B1M2QEH?qs=01kh3H%252BlXijQZiBNZaNcCA%3D%3D"
"20","1","S2","B3F-4055","ZhuLib:B3F-4055","ZhuLib:B3F-4055","https://www.omron.com/ecb/products/pdf/en-b3f.pdf","","B3F-4055","https://www.arrow.com/en/products/b3f4055/omron","","Omron Electronics","B3F-4055","653-B3F-4055","https://www.mouser.co.uk/ProductDetail/Omron-Electronics/B3F-4055?qs=B3tblJ0Nlt%2FdFVcSHGFuxQ%3D%3D"
"21","1","U1","NE555P","Timer:NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","","","","","","","",""
"22","2","U2, U3","LM741","Amplifier_Operational:LM741","Package_DIP:DIP-8_W7.62mm","https://www.mouser.com/datasheet/2/389/ua741-957400.pdf","","","","","","","",""
